replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
False,0.1,64,64,6,0.05,4.7052078451982915
False,0.1,64,64,6,0.01,5.031076595758312
False,0.1,64,64,3,0.1,4.7969811253431365
False,0.1,64,64,3,0.05,4.7969811253431365
False,0.1,64,64,3,0.01,5.124874462787837
False,0.1,64,64,1,0.1,4.8497317947715555
False,0.1,64,64,1,0.05,4.8497317947715555
False,0.1,64,64,1,0.01,5.138031849323942
True,0.01,64,128,6,0.1,4.814892709601355
True,0.01,64,128,6,0.05,4.8755781093956285
True,0.01,64,128,6,0.01,5.012530804234237
True,0.01,64,128,3,0.1,4.788994950838344
True,0.01,64,128,3,0.05,4.793822755935438
True,0.01,64,128,3,0.01,4.917288014836151
True,0.01,64,128,1,0.1,4.5960052154620765
True,0.01,64,128,1,0.05,4.672997416519538
True,0.01,64,128,1,0.01,4.86523044621626
False,0.01,64,128,6,0.1,4.992417768041985
False,0.01,64,128,6,0.05,4.992417768041985
False,0.01,64,128,6,0.01,4.992417768041985
False,0.01,64,128,3,0.1,4.9559700497351455
False,0.01,64,128,3,0.05,4.9559700497351455
False,0.01,64,128,3,0.01,4.9559700497351455
False,0.01,64,128,1,0.1,4.900360727144036
False,0.01,64,128,1,0.05,4.900360727144036
False,0.01,64,128,1,0.01,4.900360727144036
True,0.05,64,128,6,0.1,4.530960522739176
True,0.05,64,128,6,0.05,4.710930422208035
True,0.05,64,128,6,0.01,4.920945642163391
True,0.05,64,128,3,0.1,4.502112807850943
True,0.05,64,128,3,0.05,4.650619797036485
True,0.05,64,128,3,0.01,4.833677597577563
True,0.05,64,128,1,0.1,4.460858995767698
True,0.05,64,128,1,0.05,4.605552497779589
True,0.05,64,128,1,0.01,4.795206886273782
False,0.05,64,128,6,0.1,4.628359328855898
False,0.05,64,128,6,0.05,4.628359328855898
False,0.05,64,128,6,0.01,4.736966904032106
False,0.05,64,128,3,0.1,4.60265518314747
False,0.05,64,128,3,0.05,4.60265518314747
False,0.05,64,128,3,0.01,4.70325746104277
False,0.05,64,128,1,0.1,4.561530740142007
False,0.05,64,128,1,0.05,4.561530740142007
False,0.05,64,128,1,0.01,4.665982557644551
True,0.1,64,128,6,0.1,4.489068870898877
True,0.1,64,128,6,0.05,4.66121068482615
True,0.1,64,128,6,0.01,4.913550566851608
True,0.1,64,128,3,0.1,4.489624506920472
True,0.1,64,128,3,0.05,4.616647208055414
True,0.1,64,128,3,0.01,4.838262553552855
True,0.1,64,128,1,0.1,4.438021464353378
True,0.1,64,128,1,0.05,4.584670230209758
