replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
False,0.01,128,128,1,0.05,5.311530125963532
False,0.01,128,128,1,0.01,5.311530125963532
True,0.05,128,128,6,0.1,4.716465214604247
True,0.05,128,128,6,0.05,4.9205817459087475
True,0.05,128,128,6,0.01,5.198582611890073
True,0.05,128,128,3,0.1,4.8033595028836364
True,0.05,128,128,3,0.05,4.964126719088937
True,0.05,128,128,3,0.01,5.239273388093862
True,0.05,128,128,1,0.1,4.904485278428897
True,0.05,128,128,1,0.05,5.028331258120635
True,0.05,128,128,1,0.01,5.2234681107525205
False,0.05,128,128,6,0.1,4.771132288696308
False,0.05,128,128,6,0.05,4.771132288696308
False,0.05,128,128,6,0.01,4.974912185858614
False,0.05,128,128,3,0.1,4.836955234973308
False,0.05,128,128,3,0.05,4.836955234973308
False,0.05,128,128,3,0.01,5.046811511903316
False,0.05,128,128,1,0.1,4.906420829505043
False,0.05,128,128,1,0.05,4.906420829505043
False,0.05,128,128,1,0.01,5.091704338955687
True,0.1,128,128,6,0.1,4.58761349903863
True,0.1,128,128,6,0.05,4.860485829649096
True,0.1,128,128,6,0.01,5.204506407323426
True,0.1,128,128,3,0.1,4.684521844032909
True,0.1,128,128,3,0.05,4.9282219678145
True,0.1,128,128,3,0.01,5.269135308606495
True,0.1,128,128,1,0.1,4.837042591599961
True,0.1,128,128,1,0.05,5.0220627971433425
True,0.1,128,128,1,0.01,5.2395641055442
False,0.1,128,128,6,0.1,4.616270391003103
False,0.1,128,128,6,0.05,4.616270391003103
False,0.1,128,128,6,0.01,4.997274725388266
False,0.1,128,128,3,0.1,4.695882166002462
False,0.1,128,128,3,0.05,4.695882166002462
False,0.1,128,128,3,0.01,5.059238557418435
False,0.1,128,128,1,0.1,4.756501329841638
False,0.1,128,128,1,0.05,4.756501329841638
False,0.1,128,128,1,0.01,5.104807801836392
True,0.01,128,256,6,0.1,4.64967583068933
True,0.01,128,256,6,0.05,4.745917998907209
True,0.01,128,256,6,0.01,5.023021868402873
True,0.01,128,256,3,0.1,4.723926119214633
True,0.01,128,256,3,0.05,4.81279832876714
True,0.01,128,256,3,0.01,5.050121103183611
True,0.01,128,256,1,0.1,4.817435911236674
True,0.01,128,256,1,0.05,4.888595164377842
True,0.01,128,256,1,0.01,5.009567872421425
False,0.01,128,256,6,0.1,4.987887010283912
False,0.01,128,256,6,0.05,4.987887010283912
False,0.01,128,256,6,0.01,4.987887010283912
False,0.01,128,256,3,0.1,5.033549790355713
False,0.01,128,256,3,0.05,5.033549790355713
False,0.01,128,256,3,0.01,5.033549790355713
False,0.01,128,256,1,0.1,4.996231990693295
False,0.01,128,256,1,0.05,4.996231990693295
False,0.01,128,256,1,0.01,4.996231990693295
True,0.05,128,256,6,0.1,4.527863271048234
True,0.05,128,256,6,0.05,4.693029511560187
True,0.05,128,256,6,0.01,4.950045087161162
True,0.05,128,256,3,0.1,4.595793065112003
True,0.05,128,256,3,0.05,4.74847496941343
True,0.05,128,256,3,0.01,4.9826711233244545
True,0.05,128,256,1,0.1,4.725906860909897
True,0.05,128,256,1,0.05,4.8305189646572115
True,0.05,128,256,1,0.01,4.958413552615567
False,0.05,128,256,6,0.1,4.605787122523733
False,0.05,128,256,6,0.05,4.605787122523733
False,0.05,128,256,6,0.01,4.733683795051741
False,0.05,128,256,3,0.1,4.65388724861714
False,0.05,128,256,3,0.05,4.65388724861714
False,0.05,128,256,3,0.01,4.787211607819836
False,0.05,128,256,1,0.1,4.668923674198765
False,0.05,128,256,1,0.05,4.668923674198765
False,0.05,128,256,1,0.01,4.797309257881919
True,0.1,128,256,6,0.1,4.446786461741825
True,0.1,128,256,6,0.05,4.664360847141226
True,0.1,128,256,6,0.01,4.964898712520943
True,0.1,128,256,3,0.1,4.485857187108715
True,0.1,128,256,3,0.05,4.704221655523799
True,0.1,128,256,3,0.01,4.99317071895706
True,0.1,128,256,1,0.1,4.6561590447197645
True,0.1,128,256,1,0.05,4.808595047743888
True,0.1,128,256,1,0.01,4.975168214813384
False,0.1,128,256,6,0.1,4.445758063575361
False,0.1,128,256,6,0.05,4.445758063575361
False,0.1,128,256,6,0.01,4.759204756035577
False,0.1,128,256,3,0.1,4.50718594856926
False,0.1,128,256,3,0.05,4.50718594856926
False,0.1,128,256,3,0.01,4.802956405080128
False,0.1,128,256,1,0.1,4.526449299806982
False,0.1,128,256,1,0.05,4.526449299806982
False,0.1,128,256,1,0.01,4.807985961029735
True,0.01,128,512,6,0.1,4.604668095661587
True,0.01,128,512,6,0.05,4.691248672359697
True,0.01,128,512,6,0.01,4.938361961549672
True,0.01,128,512,3,0.1,4.665385412977229
True,0.01,128,512,3,0.05,4.736051538406951
True,0.01,128,512,3,0.01,4.925327619015615
True,0.01,128,512,1,0.1,4.842662877959446
True,0.01,128,512,1,0.05,4.9523620706229865
True,0.01,128,512,1,0.01,5.02528819569599
False,0.01,128,512,6,0.1,4.925820334643737
False,0.01,128,512,6,0.05,4.925820334643737
False,0.01,128,512,6,0.01,4.925820334643737
False,0.01,128,512,3,0.1,4.88886171931284
False,0.01,128,512,3,0.05,4.88886171931284
False,0.01,128,512,3,0.01,4.88886171931284
False,0.01,128,512,1,0.1,4.895099794590525
False,0.01,128,512,1,0.05,4.895099794590525
False,0.01,128,512,1,0.01,4.895099794590525
True,0.05,128,512,6,0.1,4.53574881722573
True,0.05,128,512,6,0.05,4.661557167342466
True,0.05,128,512,6,0.01,4.897940312652873
True,0.05,128,512,3,0.1,4.5713519067627955
True,0.05,128,512,3,0.05,4.683467121432478
True,0.05,128,512,3,0.01,4.857649730257991
True,0.05,128,512,1,0.1,4.774425668402293
True,0.05,128,512,1,0.05,4.884240375089675
True,0.05,128,512,1,0.01,4.973139108227528
False,0.05,128,512,6,0.1,4.577594510215347
False,0.05,128,512,6,0.05,4.577594510215347
False,0.05,128,512,6,0.01,4.6776710167073405
False,0.05,128,512,3,0.1,4.592392702440507
False,0.05,128,512,3,0.05,4.592392702440507
False,0.05,128,512,3,0.01,4.681610164025913
False,0.05,128,512,1,0.1,4.652957409490629
False,0.05,128,512,1,0.05,4.652957409490629
False,0.05,128,512,1,0.01,4.754453582597712
True,0.1,128,512,6,0.1,4.41839113111004
True,0.1,128,512,6,0.05,4.598912408294109
True,0.1,128,512,6,0.01,4.88431773354653
True,0.1,128,512,3,0.1,4.4792798063338655
True,0.1,128,512,3,0.05,4.6414251090429675
True,0.1,128,512,3,0.01,4.874817409598361
True,0.1,128,512,1,0.1,4.719254628851815
True,0.1,128,512,1,0.05,4.866802356345376
True,0.1,128,512,1,0.01,4.981201448968066
False,0.1,128,512,6,0.1,4.398234507250741
False,0.1,128,512,6,0.05,4.398234507250741
False,0.1,128,512,6,0.01,4.689040424662247
False,0.1,128,512,3,0.1,4.432079117960482
False,0.1,128,512,3,0.05,4.432079117960482
False,0.1,128,512,3,0.01,4.685334373365062
False,0.1,128,512,1,0.1,4.501350403276565
False,0.1,128,512,1,0.05,4.501350403276565
False,0.1,128,512,1,0.01,4.773742838480815
True,0.01,256,128,6,0.1,4.764180057607429
True,0.01,256,128,6,0.05,4.879062209535341
True,0.01,256,128,6,0.01,5.180758823586814
True,0.01,256,128,3,0.1,4.915225857603691
True,0.01,256,128,3,0.05,5.049586948065227
True,0.01,256,128,3,0.01,5.335655982928516
True,0.01,256,128,1,0.1,4.9661999181459375
True,0.01,256,128,1,0.05,5.0416425914776255
True,0.01,256,128,1,0.01,5.180317274452812
False,0.01,256,128,6,0.1,5.129833974180346
False,0.01,256,128,6,0.05,5.129833974180346
False,0.01,256,128,6,0.01,5.129833974180346
False,0.01,256,128,3,0.1,5.274670639713778
False,0.01,256,128,3,0.05,5.274670639713778
False,0.01,256,128,3,0.01,5.274670639713778
False,0.01,256,128,1,0.1,5.138691577354227
False,0.01,256,128,1,0.05,5.138691577354227
False,0.01,256,128,1,0.01,5.138691577354227
True,0.05,256,128,6,0.1,4.637229530466055
True,0.05,256,128,6,0.05,4.833808604051343
True,0.05,256,128,6,0.01,5.141433964759537
True,0.05,256,128,3,0.1,4.78349381726006
True,0.05,256,128,3,0.05,4.980145411731443
True,0.05,256,128,3,0.01,5.251130775608137
True,0.05,256,128,1,0.1,4.869125970184914
True,0.05,256,128,1,0.05,4.982971103981165
True,0.05,256,128,1,0.01,5.134316909972594
