replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
False,0.05,256,128,57,0.01,6.118906063011553
True,0.1,256,128,57,0.1,5.879348634713104
True,0.1,256,128,57,0.05,6.042453812386447
True,0.1,256,128,57,0.01,6.225213818169245
False,0.1,256,128,57,0.1,6.03872416109919
False,0.1,256,128,57,0.05,6.03872416109919
False,0.1,256,128,57,0.01,6.063246477698008
True,0.01,256,256,57,0.1,6.044676853483928
True,0.01,256,256,57,0.05,6.136734850324685
True,0.01,256,256,57,0.01,6.232969392719681
False,0.01,256,256,57,0.1,6.28646255286096
False,0.01,256,256,57,0.05,6.28646255286096
False,0.01,256,256,57,0.01,6.28646255286096
True,0.05,256,256,57,0.1,5.929062492600341
True,0.05,256,256,57,0.05,6.089787717783544
True,0.05,256,256,57,0.01,6.234419206095196
False,0.05,256,256,57,0.1,6.105826223975635
False,0.05,256,256,57,0.05,6.105826223975635
False,0.05,256,256,57,0.01,6.105826223975635
True,0.1,256,256,57,0.1,5.8944788371637475
True,0.1,256,256,57,0.05,6.050793853739045
True,0.1,256,256,57,0.01,6.221098763366206
False,0.1,256,256,57,0.1,6.026735814695201
False,0.1,256,256,57,0.05,6.026735814695201
False,0.1,256,256,57,0.01,6.051687301215626
True,0.01,256,512,57,0.1,6.133535412979641
True,0.01,256,512,57,0.05,6.219939785282488
True,0.01,256,512,57,0.01,6.311668047394425
False,0.01,256,512,57,0.1,6.367695390745725
False,0.01,256,512,57,0.05,6.367695390745725
False,0.01,256,512,57,0.01,6.367695390745725
True,0.05,256,512,57,0.1,5.987235791092778
True,0.05,256,512,57,0.05,6.143321383860321
True,0.05,256,512,57,0.01,6.29265408640915
False,0.05,256,512,57,0.1,6.200363312742425
False,0.05,256,512,57,0.05,6.200363312742425
False,0.05,256,512,57,0.01,6.200363312742425
True,0.1,256,512,57,0.1,5.972385829808584
True,0.1,256,512,57,0.05,6.131426115996604
True,0.1,256,512,57,0.01,6.284038453760759
False,0.1,256,512,57,0.1,6.110052982250499
False,0.1,256,512,57,0.05,6.110052982250499
False,0.1,256,512,57,0.01,6.142516441139398
True,0.01,64,128,28,0.1,6.152983230383474
True,0.01,64,128,28,0.05,6.276494240500925
True,0.01,64,128,28,0.01,6.420970709019417
False,0.01,64,128,28,0.1,6.549682226831508
False,0.01,64,128,28,0.05,6.549682226831508
False,0.01,64,128,28,0.01,6.549682226831508
True,0.05,64,128,28,0.1,6.042304090073157
True,0.05,64,128,28,0.05,6.218515793027604
True,0.05,64,128,28,0.01,6.407244393195478
False,0.05,64,128,28,0.1,6.342960554895224
False,0.05,64,128,28,0.05,6.342960554895224
False,0.05,64,128,28,0.01,6.342960554895224
True,0.1,64,128,28,0.1,6.019671666105448
True,0.1,64,128,28,0.05,6.201855554160364
True,0.1,64,128,28,0.01,6.4035316002424985
False,0.1,64,128,28,0.1,6.247502076700137
False,0.1,64,128,28,0.05,6.247502076700137
False,0.1,64,128,28,0.01,6.282360994856242
True,0.01,64,256,28,0.1,6.13097306107211
True,0.01,64,256,28,0.05,6.25411548164626
True,0.01,64,256,28,0.01,6.390552767210239
False,0.01,64,256,28,0.1,6.520025427422901
False,0.01,64,256,28,0.05,6.520025427422901
False,0.01,64,256,28,0.01,6.520025427422901
True,0.05,64,256,28,0.1,6.027259640069436
True,0.05,64,256,28,0.05,6.19331682216395
True,0.05,64,256,28,0.01,6.378528207430781
False,0.05,64,256,28,0.1,6.314973362248932
False,0.05,64,256,28,0.05,6.314973362248932
False,0.05,64,256,28,0.01,6.314973362248932
True,0.1,64,256,28,0.1,5.996004155877164
True,0.1,64,256,28,0.05,6.1761858076599205
True,0.1,64,256,28,0.01,6.37185222490422
False,0.1,64,256,28,0.1,6.221046580143969
False,0.1,64,256,28,0.05,6.221046580143969
False,0.1,64,256,28,0.01,6.250869760502528
True,0.01,64,512,28,0.1,6.19467718920816
True,0.01,64,512,28,0.05,6.302452455455756
True,0.01,64,512,28,0.01,6.420187225535098
False,0.01,64,512,28,0.1,6.536405052376829
False,0.01,64,512,28,0.05,6.536405052376829
False,0.01,64,512,28,0.01,6.536405052376829
True,0.05,64,512,28,0.1,6.079352821315887
True,0.05,64,512,28,0.05,6.239918483741641
True,0.05,64,512,28,0.01,6.404023926707702
False,0.05,64,512,28,0.1,6.3334113367491
False,0.05,64,512,28,0.05,6.3334113367491
False,0.05,64,512,28,0.01,6.3334113367491
True,0.1,64,512,28,0.1,6.051480489912106
True,0.1,64,512,28,0.05,6.224386813659629
True,0.1,64,512,28,0.01,6.400385935826044
False,0.1,64,512,28,0.1,6.239724775282138
False,0.1,64,512,28,0.05,6.239724775282138
False,0.1,64,512,28,0.01,6.266201506136961
True,0.01,128,128,28,0.1,6.097593477311099
True,0.01,128,128,28,0.05,6.202196278655
True,0.01,128,128,28,0.01,6.3221129335058075
False,0.01,128,128,28,0.1,6.426111934491928
False,0.01,128,128,28,0.05,6.426111934491928
False,0.01,128,128,28,0.01,6.426111934491928
True,0.05,128,128,28,0.1,5.986170717874699
True,0.05,128,128,28,0.05,6.146061093863455
True,0.05,128,128,28,0.01,6.305399259186431
False,0.05,128,128,28,0.1,6.222519258270592
False,0.05,128,128,28,0.05,6.222519258270592
False,0.05,128,128,28,0.01,6.222519258270592
