replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
True,0.05,64,256,2,0.05,4.215848006791742
True,0.05,64,256,2,0.01,4.466795573175432
False,0.05,64,256,5,0.1,4.152536124230127
False,0.05,64,256,5,0.05,4.152536124230127
False,0.05,64,256,5,0.01,4.350952429461879
False,0.05,64,256,2,0.1,4.14990437561191
False,0.05,64,256,2,0.05,4.14990437561191
False,0.05,64,256,2,0.01,4.341286830707331
True,0.1,64,256,5,0.1,4.065674629114041
True,0.1,64,256,5,0.05,4.178582455797147
True,0.1,64,256,5,0.01,4.5051356302744106
True,0.1,64,256,2,0.1,4.067410419319425
True,0.1,64,256,2,0.05,4.177140907507408
True,0.1,64,256,2,0.01,4.454137503709521
False,0.1,64,256,5,0.1,3.993657622173874
False,0.1,64,256,5,0.05,3.993657622173874
False,0.1,64,256,5,0.01,4.3488053206020165
False,0.1,64,256,2,0.1,3.9991583660690564
False,0.1,64,256,2,0.05,3.9991583660690564
False,0.1,64,256,2,0.01,4.331564478244684
True,0.01,64,512,5,0.1,4.134864249775481
True,0.01,64,512,5,0.05,4.200161985721491
True,0.01,64,512,5,0.01,4.377038223216518
True,0.01,64,512,2,0.1,4.186101992229403
True,0.01,64,512,2,0.05,4.245697076784965
True,0.01,64,512,2,0.01,4.377739383737855
False,0.01,64,512,5,0.1,4.3986426138860475
False,0.01,64,512,5,0.05,4.3986426138860475
False,0.01,64,512,5,0.01,4.3986426138860475
False,0.01,64,512,2,0.1,4.3774010750779615
False,0.01,64,512,2,0.05,4.3774010750779615
False,0.01,64,512,2,0.01,4.3774010750779615
True,0.05,64,512,5,0.1,3.9598728137499744
True,0.05,64,512,5,0.05,4.082013551724557
True,0.05,64,512,5,0.01,4.323445904611411
True,0.05,64,512,2,0.1,4.028201395364507
True,0.05,64,512,2,0.05,4.136381080253206
True,0.05,64,512,2,0.01,4.335527534644853
False,0.05,64,512,5,0.1,3.966208342476364
False,0.05,64,512,5,0.05,3.966208342476364
False,0.05,64,512,5,0.01,4.14331053974505
False,0.05,64,512,2,0.1,3.999591697140561
False,0.05,64,512,2,0.05,3.999591697140561
False,0.05,64,512,2,0.01,4.156793205343312
True,0.1,64,512,5,0.1,3.960406883714149
True,0.1,64,512,5,0.05,4.034230472744163
True,0.1,64,512,5,0.01,4.321345012088834
True,0.1,64,512,2,0.1,4.0141597303659005
True,0.1,64,512,2,0.05,4.0941750069415805
True,0.1,64,512,2,0.01,4.342796243080512
False,0.1,64,512,5,0.1,3.819608971291785
False,0.1,64,512,5,0.05,3.819608971291785
False,0.1,64,512,5,0.01,4.147559585230443
False,0.1,64,512,2,0.1,3.854347949128878
False,0.1,64,512,2,0.05,3.854347949128878
False,0.1,64,512,2,0.01,4.164819170140072
True,0.01,128,128,5,0.1,4.34916789996024
True,0.01,128,128,5,0.05,4.421092381014779
True,0.01,128,128,5,0.01,4.6868815928110665
True,0.01,128,128,2,0.1,4.353285825661201
True,0.01,128,128,2,0.05,4.454176459496774
True,0.01,128,128,2,0.01,4.724465645637762
False,0.01,128,128,5,0.1,4.768405883526124
False,0.01,128,128,5,0.05,4.768405883526124
False,0.01,128,128,5,0.01,4.768405883526124
False,0.01,128,128,2,0.1,4.874608776849348
False,0.01,128,128,2,0.05,4.874608776849348
False,0.01,128,128,2,0.01,4.874608776849348
True,0.05,128,128,5,0.1,4.200431060825796
True,0.05,128,128,5,0.05,4.332373513521547
True,0.05,128,128,5,0.01,4.651708378572693
True,0.05,128,128,2,0.1,4.199805757062093
True,0.05,128,128,2,0.05,4.367305460330955
True,0.05,128,128,2,0.01,4.674235045344703
False,0.05,128,128,5,0.1,4.218456811404072
False,0.05,128,128,5,0.05,4.218456811404072
False,0.05,128,128,5,0.01,4.458170434491292
False,0.05,128,128,2,0.1,4.265425050284722
False,0.05,128,128,2,0.05,4.265425050284722
False,0.05,128,128,2,0.01,4.538112701246288
True,0.1,128,128,5,0.1,4.1851293056399
True,0.1,128,128,5,0.05,4.289836961452671
True,0.1,128,128,5,0.01,4.630820640241204
True,0.1,128,128,2,0.1,4.1973763541702285
True,0.1,128,128,2,0.05,4.314785845170136
True,0.1,128,128,2,0.01,4.676310290392953
False,0.1,128,128,5,0.1,4.070070484274065
False,0.1,128,128,5,0.05,4.070070484274065
False,0.1,128,128,5,0.01,4.455396141125981
False,0.1,128,128,2,0.1,4.113507756519109
False,0.1,128,128,2,0.05,4.113507756519109
False,0.1,128,128,2,0.01,4.5140776121207695
True,0.01,128,256,5,0.1,4.145265189163186
True,0.01,128,256,5,0.05,4.173418909159131
True,0.01,128,256,5,0.01,4.334133585902742
True,0.01,128,256,2,0.1,4.157758285667147
True,0.01,128,256,2,0.05,4.207941491268222
True,0.01,128,256,2,0.01,4.338783022785257
False,0.01,128,256,5,0.1,4.3928450037318365
False,0.01,128,256,5,0.05,4.3928450037318365
False,0.01,128,256,5,0.01,4.3928450037318365
False,0.01,128,256,2,0.1,4.400663974596409
False,0.01,128,256,2,0.05,4.400663974596409
False,0.01,128,256,2,0.01,4.400663974596409
